	ID	Kaltmiete	Zimmer	Quadratmeter	lat	lng
1240	107795888	752.08	4.0	94.01	52.55927540854218	13.461679024049237
1241	107796822	1500.0	3.0	110.0	52.506498225302124	13.297595121294359
1242	107797080	609.0	2.0	51.82	52.5401561773689	13.269668673540332
1243	107797399	664.0	2.5	80.96	52.54406538385142	13.24530790051365
1244	107797585	699.0	3.0	80.13	52.5440469589689	13.243255532643945
1245	107797691	3825.0	5.0	201.3	52.486318409352144	13.330385823023963
1246	107797816	669.0	2.0	59.43	52.5402563871018	13.26967590073828
1247	107797893	2690.0	4.0	214.99	52.497227653007315	13.319984065831608
1248	107798843	1150.0	2.0	52.5	52.47393329773883	13.425406687972632
1249	107798868	1000.0	2.0	56.0	52.48245104496508	13.444485976189842
1250	107799060	1280.0	3.0	94.61	52.41195165512919	13.589775175293637
1251	107799724	1651.27	4.0	118.45	52.510432129018895	13.302997583146075
1252	107799883	590.0	2.0	52.6	52.512328637450665	13.522137674428423
1253	107799887	904.0	4.0	107.51	52.57459692651434	13.21354788569898
1254	107800156	785.0	3.0	78.74	52.435696900525876	13.572186110469401
1255	107800379	2010.0	4.0	134.0	52.52047784276433	13.446565860536824
1256	107800402	805.0	4.0	93.62	52.57449726970719	13.214559521085551
1257	107800427	988.0	3.0	91.83	52.54254868242451	13.27064965988977
1258	107800510	349.0	1.0	44.0	52.60893489673056	13.337338091555763
1259	107800682	855.0	3.0	75.2	52.48221824854338	13.53228730065325
1260	107800853	412.83	1.0	43.41	52.5267176878306	13.221768120831129
1261	107800992	1122.96	3.0	73.3	52.54711137456352	13.417505284649625
1262	107801078	2400.0	4.0	168.37	52.4974216587047	13.469928652200396
1263	107802891	935.0	3.0	81.29	52.550651924089614	13.443514321255698
1264	107803392	850.0	3.0	85.0	52.48233466886329	13.581748229263814
1265	107803426	852.0	2.0	71.0	52.51770516829777	13.460975354948884
1266	107807487	1990.0	3.0	131.03	52.43287733015394	13.221328338585547
1267	107807777	809.0	2.0	55.77	52.4802350738666	13.513741186785824
1268	107807993	1407.65	4.0	108.3	52.42478257901276	13.578526931711727
1269	107807995	1641.43	3.0	109.44	52.42494215830359	13.578688846641166
1270	107808268	860.0	2.5	73.0	52.43748283316779	13.236277090056959
1271	107809331	900.0	2.0	69.0	52.55462324206868	13.35472358934678
1272	107809344	700.0	2.0	67.5	52.44702559160226	13.580010157617238
1273	107811606	609.0	3.0	69.93	52.540908355911185	13.602877016780813
1274	107811608	539.0	2.0	53.98	52.54149817426886	13.60299876592099
1275	107811611	739.0	3.0	81.78	52.53755734334242	13.606907756543517
1276	107813770	1737.4	3.0	102.2	52.49515934403705	13.417556274713217
1277	107814730	999.0	2.0	62.55	52.53307720283963	13.423497928152653
1278	107815176	364.08	1.0	29.48	52.537566866358226	13.501985609834346
1279	107816299	621.35	1.0	30.0	52.43617646868947	13.542048008791422
1280	107816667	1036.8	2.0	86.4	52.51886931242437	13.317677623049489
1281	107817369	1034.4	2.0	86.2	52.51886931242437	13.317677623049489
1282	107817448	1079.0	1.0	54.59	52.53925230668906	13.425296688047746
1283	107818378	704.0	2.0	64.01	52.56058712347905	13.45855884107061
1284	107818858	711.0	3.0	78.44	52.446375861328406	13.294366636776484
1285	107819371	450.0	1.0	44.0	52.475089705997235	13.465515769165972
1286	107819379	560.0	2.0	59.62	52.43591901936937	13.572084063882148
1287	107819631	682.69	3.0	92.5	52.61536911339032	13.312545218511305
1288	107819766	1600.0	4.5	125.0	52.45224743246912	13.34516056127924
1289	107819877	502.19	1.5	49.96	52.56537325299861	13.215829397452362
1290	107819887	699.5	4.0	90.04	52.53191304371049	13.541278485484316
1291	107820630	435.0	1.5	52.39	52.55098867571787	13.153255114740348
1292	107821433	993.6	3.0	73.6	52.45157958948426	13.569818797776163
1293	107821503	1658.0	6.0	196.5	52.509485563154094	13.279575831956478
1294	107821583	490.0	2.0	60.99	52.55086560291711	13.153426224447879
1295	107822190	691.0	3.0	86.25	52.4356470604191	13.572017868926817
1296	107822341	553.18	2.0	54.92	52.5654312045625	13.213976242918696
1297	107823459	1264.0	2.0	79.0	52.50114504458986	13.319597591489801
1298	107825347	1528.6	3.0	92.96	52.53238607028685	13.341807256581701
1299	107825463	2580.95	4.0	157.0	52.50687851040537	13.374396040677903
1300	107825662	710.0	3.0	72.68	52.43879422243454	13.571488434525929
1301	107826212	1100.87	2.0	61.16	52.50853409653366	13.433749328449398
1302	107826250	1295.63	2.0	58.23	52.50853409653366	13.433749328449398
1303	107826284	1360.83	2.0	61.16	52.50853409653366	13.433749328449398
1304	107826344	958.05	2.0	63.87	52.53741473558226	13.204805285594835
1305	107826664	1200.0	1.0	45.0	52.52908643473204	13.44558866790092
1306	107826807	837.76	2.0	59.84	52.559046528368064	13.416368449002274
1307	107830296	1053.42	3.0	87.85	52.424827345711684	13.578246691559121
1308	107830299	875.61	2.0	62.56	52.42478257901276	13.578526931711727
1309	107833246	420.0	1.0	43.79	52.439586586565866	13.338821061972993
1310	107833875	820.0	2.0	76.0	52.58842366203335	13.40155916799727
1311	107835914	649.0	3.0	71.2	52.56660143610143	13.50530855801022
1312	107837123	3400.0	4.0	200.0	52.49628774675881	13.45425634671327
1313	107837125	3400.0	4.0	200.0	52.49189798294657	13.450990877724436
1314	107839329	765.0	2.0	66.53	52.56480595431307	13.401029317942145
1315	107839467	1740.0	4.0	139.2	52.420622102544414	13.28634875243793
1316	107840500	520.0	3.0	80.0	52.48795698052901	13.52863618718303
1317	107840775	2250.0	4.0	148.0	52.50915891385145	13.301139587169788
1318	107840888	513.56	3.0	69.4	52.548034640780656	13.590624288288348
1319	107840892	518.99	3.0	69.4	52.5456918364578	13.591127535571921
1320	107841837	1449.0	2.0	76.1	52.53925230668906	13.425296688047746
1321	107842080	1510.0	2.0	77.31	52.48692403553098	13.391798906247413
1322	107842316	1060.0	2.0	54.93	52.51316431115143	13.463037925540881
1323	107843258	556.6	2.0	55.0	52.4664167921764	13.343768046134489
1324	107843596	412.29	1.0	35.69	52.459448218265564	13.438586654419314
1325	107845329	974.0	2.0	58.44	52.51929161679977	13.437496848335828
1326	107845428	885.0	2.0	84.3	52.584346264807294	13.40309618026471
1327	107845430	765.0	2.0	62.42	52.52507945358362	13.309167583979933
1328	107845945	998.0	3.0	72.7	52.46061169030845	13.52335779076077
